euctsp_size=16_sample=0.tsp,0,19.7555701219,31.5088730445,46.2660346755,19.6216756196,18.0335221938,27.8630515782,37.9575072256,13.8020170071,23.9992357603,13.3687481976,9.87321776585,28.5053450866,40.5678878056,30.1024763385,15.6377339163
euctsp_size=16_sample=1.tsp,0,46.6110564857,37.4914590319,20.4862676993,15.7150294858,24.4941748208,17.999753043,29.5717485341,46.0839650021,5.92484995725,24.1554557885,16.787009323,14.7855935077,5.14799874799,19.0159877397,19.5911015805
euctsp_size=16_sample=2.tsp,0,15.4666735071,22.8167303486,13.1846357839,21.6199680247,43.2336982138,12.9119826249,22.7153354186,38.9101834925,22.1964624916,15.0213125084,36.488869859,23.0885187407,10.2867616138,26.2038487235,19.3622603787
euctsp_size=16_sample=3.tsp,0,18.7117097188,21.4436632105,6.37772261497,17.7073845534,19.9967061411,8.84305009148,36.1250160578,35.4661682768,38.2720109851,5.68144242189,35.3972545374,21.8559857581,20.0292639859,35.7341108853,7.17498960785
euctsp_size=16_sample=4.tsp,0,17.2584725271,15.2712414272,29.0827545899,37.6999527601,19.2963756762,18.7555488048,40.5206541289,18.6644167868,19.7426047014,18.1694300204,8.32339538601,9.09871260392,34.4137093974,21.3818320076,7.66185982576
euctsp_size=16_sample=5.tsp,0,30.926288644,14.2614498864,20.776728624,5.70288906813,7.33784107275,9.74954326961,8.07093062949,5.54550169905,30.7684740807,36.1722056777,30.1206905135,72.5025133327,5.89437603327,7.59729019359,19.8094821154
euctsp_size=16_sample=6.tsp,0,34.7144221594,10.1903704122,18.1474587802,12.0935059286,14.4301836851,22.0975739934,46.6299264009,34.464434256,17.709584586,15.2609557219,12.3995524135,28.4611457988,14.4540735644,6.72629970654,51.0839164782
euctsp_size=16_sample=7.tsp,0,18.1228853386,13.5334266569,24.0319440975,20.6208524422,10.215735035,24.572565329,27.9591191892,8.23528163988,47.8422870938,39.1260410884,48.7281730803,26.0776795002,9.52642350226,8.4406251822,19.4099451443
euctsp_size=16_sample=8.tsp,0,19.1504845629,8.48087514868,3.21865070365,32.7591265642,11.1165086692,10.2658438382,21.0592911485,25.4926523725,63.1395381047,64.7654250457,25.3930463899,11.1340318966,33.7307896896,15.8601470952,45.2782376155
euctsp_size=16_sample=9.tsp,0,16.0788173534,35.7906188093,2.33031797359,20.5481634432,38.8177012012,36.9523460036,15.4182586843,11.6330212213,9.17413839288,16.8840986686,34.6453329233,34.8611269804,23.8693946946,10.8922951465,15.2534692756
euctsp_size=16_sample=10.tsp,0,10.8656401674,25.6734208963,40.2397825943,18.7028874898,13.156746871,48.0659257526,17.0459498845,23.087621916,12.1330161212,3.09881717665,6.07809511581,17.1641442974,30.3965965816,11.4534848193,27.0143868466
euctsp_size=16_sample=11.tsp,0,16.0921119951,14.1363278065,33.3302628809,28.7899641201,39.6126520098,13.8374632917,47.2647383648,27.6230719795,17.182966537,16.4818686867,20.7560131019,39.7631314905,11.7858564653,5.51710382475,9.90062272069
euctsp_size=16_sample=12.tsp,0,12.0609651902,29.6601774887,18.9230151425,55.0555411547,25.6386493369,22.7668645139,22.8531734713,23.3266550714,11.9034108599,20.5334327432,6.13129709002,21.0345550813,32.8456558359,36.7930663284,24.0634587262
euctsp_size=16_sample=13.tsp,0,0.793799944712,39.0871423976,8.16330236323,61.1456108518,14.0072601894,15.130236955,5.8917193566,39.4197578515,27.3266402564,8.36031355519,32.4314561924,10.6203650939,24.2218847234,25.3707832078,19.9106475175
euctsp_size=16_sample=14.tsp,0,14.9609227009,24.7188483777,39.9364689822,1.70095726498,15.9274146853,9.0166241998,81.2886313042,0.864237313669,49.2265218235,20.3190240083,20.6600221825,19.9870684811,2.50405000662,21.8584558393,30.3990473297
euctsp_size=16_sample=15.tsp,0,29.3333096126,23.789592113,24.4084030851,16.0746788404,36.4393431877,27.9295804017,4.28131654784,33.3545638512,12.2981291347,20.2599820106,20.1897200959,23.553084307,51.8107394904,9.77072098465,16.2174793667
euctsp_size=16_sample=16.tsp,0,17.7182194015,22.6221960363,24.8554647786,44.6354825871,34.9321352543,16.2234708203,7.28053686774,26.2793617107,17.1810339361,57.292949481,8.66858356704,20.9265664062,8.20992680751,14.8957346059,36.4622021563
euctsp_size=16_sample=17.tsp,0,13.9803089653,19.7173034858,11.5762668456,27.2887511204,17.2005737362,41.8774469688,24.3521808129,31.3434063095,28.7143364083,29.1075716763,39.5762201479,18.4050190087,19.3160792774,11.3808218357,31.5152044008
euctsp_size=16_sample=18.tsp,0,9.86513483409,20.4087174057,25.4565461778,11.8069133537,30.2042539153,47.1384733934,17.6002338928,20.5625917594,21.6680989194,16.6094324013,17.0320263402,13.9840832767,45.2798103569,8.12126921563,17.7526359032
euctsp_size=16_sample=19.tsp,0,26.6959489074,13.0039765802,23.5097886313,7.61353819294,37.3421396843,27.3389541423,49.1284351737,25.3640857818,16.8265969022,16.4726303796,17.0288652756,22.789022379,21.6902953501,18.3898091379,15.2277213239
