euctsp_size=20_sample=0.tsp,0,17.8334695542,29.2443509177,30.3940380395,18.1204257916,10.6109780692,27.1297464456,27.3592802431,12.6654556145,19.4819009256,12.2102012697,6.31997804813,25.3606578834,40.0833280035,25.7698075975,14.4987039772,45.0677313699,19.1673078503,10.0714277515,10.5334882102
euctsp_size=20_sample=1.tsp,0,10.6366778196,10.8945473074,19.4985717561,41.6531127364,29.2393650489,25.7933213196,5.65700754484,14.956980563,49.9080347944,8.46392817555,6.76924103084,56.4818459001,12.9022880156,13.6453783393,11.1964506083,4.692756898,26.5475137609,13.3961881368,30.4656075014
euctsp_size=20_sample=2.tsp,0,5.87037928989,14.1544231875,17.1000898924,20.0085790725,12.7480520748,22.371512274,19.4445194883,16.2463813653,25.8792222485,13.8854690181,19.5057956431,10.8665688016,3.98144304946,7.73920160995,38.8929756297,41.6089565412,17.3837978887,14.6221706324,16.8947331986
euctsp_size=20_sample=3.tsp,0,36.5669510031,25.2773569121,22.6377490563,18.7507545421,7.80911650492,15.4772785298,30.4622059064,50.0523853844,4.72498762103,21.1395435313,15.3983627057,7.09028549997,7.94040932644,19.7282405067,17.7206837248,10.8539577453,28.6706891179,9.64384154843,20.7155541965
euctsp_size=20_sample=4.tsp,0,27.1026231364,13.3285693854,14.8709007733,5.35325776534,7.14142979747,9.06542856299,8.05384819043,5.30860163691,25.3127420291,34.8686171902,28.5332581882,64.8900578257,5.46770436397,5.63730299551,14.2608609657,13.2720803811,49.0685623511,21.4010124751,11.9568441683
euctsp_size=20_sample=5.tsp,0,5.27178200446,19.2713571161,40.3104621073,17.1428527089,13.4397933889,17.9436728335,8.18801231233,21.3155578423,8.90997464732,12.9073207107,42.8823874636,16.9854196832,22.9484818766,19.3072098296,26.2550276323,23.1403412502,16.2791033838,54.6434024959,6.56384265046
euctsp_size=20_sample=6.tsp,0,47.0155090743,21.2732706694,25.976038068,15.6388407044,4.5045539352,10.5720562857,8.79773685085,35.7790523878,6.79390497448,30.4759422019,25.727113666,15.1190786992,18.5584594438,25.379880923,4.6136735959,11.1436402061,28.4005432849,64.8094842435,14.0913510989
euctsp_size=20_sample=7.tsp,0,18.2830998245,8.0985835939,15.7485414076,25.8854986727,23.5164988134,32.1080814954,18.4186814191,9.44891752739,14.9393980368,25.1861218294,15.0307805154,14.0749709277,12.1243131101,13.4293336105,31.9487822174,18.331410863,8.84588902329,16.7983854685,15.1350633806
euctsp_size=20_sample=8.tsp,0,11.0404395657,20.0420319746,39.4501655477,13.0437997638,12.0676504362,28.4156612326,13.6655748676,20.991119651,11.7168234442,2.99837451359,6.90174404859,16.4480338801,22.9705227324,11.2832586239,22.6405464249,31.820169709,11.8191739558,11.5120965571,43.5626843978
euctsp_size=20_sample=9.tsp,0,22.0350384628,10.6098482071,35.1260551605,10.7518364274,25.9674397639,31.3222767267,12.8222123065,15.1717156202,21.563073549,18.3547792555,19.7259566636,15.7124164551,21.5925323657,25.3990210045,14.441407917,47.7837747348,16.7161079422,22.1420907005,14.9334991774
euctsp_size=20_sample=10.tsp,0,11.9280733461,15.7346377753,33.0003952175,2.95510183461,30.1764153339,51.9029098349,15.4627960458,11.6208839674,11.5652170147,17.36599229,10.6974748523,36.1359731258,21.098044349,19.8854041774,15.6891343653,18.5870908104,24.9564686749,15.894795844,29.5375377687
euctsp_size=20_sample=11.tsp,0,15.7122076044,34.696552432,12.7692208756,9.38059579089,6.14757197643,21.4946031476,24.2394197304,9.42677927853,14.5472276109,14.403356002,48.1061560272,9.27649212905,47.0945205033,11.1612379026,30.2110677925,13.461248799,10.5503288769,25.757799175,39.7327417009
euctsp_size=20_sample=12.tsp,0,28.2957558598,24.3436198423,20.0956157105,15.3661324797,24.997278,27.8652386993,6.66242533515,31.9931046073,13.1259124286,20.2834488128,18.931559356,21.2357364066,53.6047091409,6.40244132888,23.5161085795,21.1363082798,7.66962360192,20.0461522529,7.22213033294
