euctsp_size=14_sample=0.tsp,0,21.8800431409,32.1099060755,63.0722237338,21.3390807802,14.8355442716,27.9804104328,39.7617346372,15.7362948259,25.5584314233,15.7904551261,10.0072788135,30.7354471011,45.5591590573
euctsp_size=14_sample=1.tsp,0,30.3485697055,82.950323709,21.020610757,18.0848382781,7.66653646016,13.3544331372,23.3138106478,14.2249969952,21.9318288033,11.3813589646,36.8499303339,25.9206495428,10.0487071484
euctsp_size=14_sample=2.tsp,0,63.8465668911,13.1793494841,8.58345670021,42.8206827925,15.9843018537,29.2331572006,7.98599269665,9.78380001213,43.5632488921,15.0888578086,26.8627847862,37.9485344209,22.2910910954
euctsp_size=14_sample=3.tsp,0,17.9975693883,17.8256592184,10.1384173892,20.0968135308,16.7994799411,16.565501387,24.3500344015,16.2588490954,20.2431207912,25.3743692369,35.2510118494,13.0270629511,41.5775569632
euctsp_size=14_sample=4.tsp,0,42.847875828,26.8150243403,32.5367274833,17.6689122912,36.6477216264,4.13079354129,32.9393103494,28.4031955503,6.33315646609,22.3984748011,41.8970849843,55.1005172461,7.31751487043
euctsp_size=14_sample=5.tsp,0,46.5121125208,20.9180304729,13.0281879119,12.035066643,14.9743221392,21.1711327255,10.0812956774,11.6889814004,51.4413686689,21.6763229388,27.3873026829,18.3060013822,7.33725888722
euctsp_size=14_sample=6.tsp,0,3.5911514667,7.17905783984,11.1287476879,3.7633084079,44.4082208232,30.2939117825,54.6544919971,62.4774170336,0.967473046076,12.7306394123,27.7557990584,21.5540925563,63.7562539833
euctsp_size=14_sample=7.tsp,0,21.5884628233,12.2118595627,17.2105555359,27.4359121504,50.6774141,40.3731460386,14.1205220429,12.0906372202,10.106351409,31.4868290872,19.063589965,3.6229291459,49.9187554045
euctsp_size=14_sample=8.tsp,0,18.9350117014,13.4974468959,24.0348934981,20.6253644988,12.4823659431,27.001187597,27.7504754035,8.96812389159,46.8211613063,41.6271666478,50.49537987,27.4682059431,9.92007174509
euctsp_size=14_sample=9.tsp,0,15.6110854936,35.2782225294,7.45401608262,28.530833002,24.6578049764,29.9639781083,20.7687749131,22.3745071761,8.00810095222,17.5029352286,54.4599453437,66.5463565623,9.89812582896
euctsp_size=14_sample=10.tsp,0,27.9562406094,9.23811072535,21.0959477874,30.1175615744,22.1303104827,28.2205192544,21.9014636212,10.2468604363,14.7764610475,37.4021183437,21.9867310104,17.6519883197,17.0942251352
euctsp_size=14_sample=11.tsp,0,20.5248030619,26.0349942132,15.2716642784,16.2201150604,23.8734885417,13.2351203227,19.753371607,34.8855493156,56.8710800396,22.276069275,15.7688753981,23.7262870506,15.4038352716
