euctsp_size=19_sample=0.tsp,0,18.0405351018,29.40348622,30.1561724004,18.3612647043,18.1674877219,28.0085900646,27.5426968602,12.8255807748,19.6254433742,12.3782966012,6.16803066912,25.5328434458,39.3492758528,23.6676954942,14.689056284,45.2511501848,19.2453554956,10.2238664064
euctsp_size=19_sample=1.tsp,0,7.67824376526,10.1251937625,11.0599981461,19.1661575575,33.7712823108,31.6007016906,27.138025267,3.22722424682,17.3167743083,53.2165949336,8.76412420304,8.96738492642,60.05688182,4.32090107812,14.551238501,13.8137995847,7.53967949777,23.9170729264
euctsp_size=19_sample=2.tsp,0,17.7635049731,16.9603824872,8.5157028488,11.8629299747,19.5081006559,19.2735916239,5.94308674924,21.3473224377,17.6785001144,18.1730265122,25.8578745729,2.64326678568,21.7209027669,20.1181697968,18.3057813175,12.6864044679,34.2596332327,33.4457183354
euctsp_size=19_sample=3.tsp,0,21.695804151,7.67853743437,9.19026662921,8.43086656331,36.3353708061,26.1981553803,25.9830796902,13.2690428629,21.7517315858,35.3988069161,56.827212431,9.83348785402,31.3173513804,12.1949096133,13.4594170632,13.2580149281,20.6056250291,24.3248680055
euctsp_size=19_sample=4.tsp,0,25.4152509298,15.1124327371,32.1793982388,9.17209370968,28.6878907983,4.7303700189,13.8667959603,7.99521947755,10.9679369404,9.87959288319,14.7150423577,9.06876541092,23.2755133789,30.5916079081,31.3436832375,43.8204849474,7.67546993684,9.85476811065
euctsp_size=19_sample=5.tsp,0,16.5719831668,30.2746975817,9.17231557243,8.89749291091,15.1583114704,17.4123475593,16.7615709611,32.9097709124,29.3570904602,19.3004337574,15.9758864798,14.7152129458,31.0003878083,15.7606406022,5.63022952321,53.9645040148,14.7000223317,26.7512986786
euctsp_size=19_sample=6.tsp,0,19.896668923,17.245397729,10.7309186264,19.236176063,21.2342856051,7.80797345176,42.4051671723,34.0086244937,40.8969825707,23.981124427,8.64814982639,12.1937592661,18.4866855501,44.7441281586,7.00348623056,38.2965397368,32.8987398186,19.8114317588
euctsp_size=19_sample=7.tsp,0,31.2194755106,22.8965808674,15.3323286106,45.8031932264,26.8366812538,18.2702575257,10.3035031437,25.155602981,15.6148841711,25.4918619415,31.0027672067,22.5975533102,31.9391303501,23.0559004287,14.0094919633,4.67678396748,12.6968287454,17.2906636705
euctsp_size=19_sample=8.tsp,0,2.58413388735,10.1592585657,22.2832782638,25.9168040134,13.0127913999,10.0962207832,15.6650777741,5.22242576839,12.0459381871,38.7842361365,43.1867937489,18.7153329204,13.091389967,18.4638364345,19.6279014681,25.5791517169,15.1346564591,9.80805973462
euctsp_size=19_sample=9.tsp,0,13.5068756959,30.020766158,11.6982950181,27.9092072788,24.6194519237,12.9471836024,15.5033174247,24.6600521964,16.5182357096,28.5738491023,12.5001547578,37.7995762274,16.644921929,16.3848553382,36.259155808,9.86585742521,35.9752561465,27.5344770817
euctsp_size=19_sample=10.tsp,0,11.7507230286,15.2261924699,17.6846502702,12.2395836495,9.866392972,51.8512573529,12.6882636606,36.1252492861,17.9024649092,27.8147273135,21.6519466317,23.5997248726,15.2113852481,26.6564478228,26.7118872146,19.266113041,16.5295047269,14.8250211085
euctsp_size=19_sample=11.tsp,0,37.4548027543,9.10019151215,51.840685275,12.2693203704,10.5898883591,5.38410675543,35.5950319283,19.6591847966,10.2487881166,31.4881403028,9.53955989718,17.0104241648,26.7949201633,15.2031829872,22.7290596339,15.4337893573,25.8484202266,21.6056133912
euctsp_size=19_sample=12.tsp,0,22.4159759625,5.35745538497,65.4838642045,1.68681907388,50.6395540317,17.0346327145,17.7611076202,19.264856379,3.90499624272,19.7284402955,26.8952816618,30.2069353431,17.1999059392,31.0192780109,13.0362310636,20.6122115344,14.2565882926,26.9742935484
